"local_id","local_nombre","comuna_nombre","localidad_nombre","local_direccion","funcionamiento_hora_apertura","funcionamiento_hora_cierre","local_telefono","local_lat","local_lng","funcionamiento_dia","fk_region","fk_comuna","fk_localidad"}
{"1","CRUZ VERDE ","QUILLOTA","QUILLOTA","OHIGGINS 195, LOCAL 1","09:00:00","21:30:00","+5633269467","-32.8793428949969","-71.2467871500868","viernes","6","69","32"}
{"2","CRUZ VERDE","LA CALERA","LA CALERA","J.J. PEREZ 202","09:00:00","21:00:00","+56332724714","-32.788066282624","-71.1897310126255","viernes","6","56","12"}
{"3","CRUZ VERDE","LIMACHE","LIMACHE","URMENETA 99","08:30:00","21:30:00","+5633415940","-32.9849921792696","-71.2757177058683","viernes","6","59","17"}
{"4","CRUZ VERDE","LIMACHE","LIMACHE","REPUBLICA 281","09:00:00","21:30:00","+5633418343","-33.0025007197382","-71.2654977848501","viernes","6","59","17"}
{"5","AHUMADA","LA CALERA","LA CALERA","J J PEREZ 199","09:00:00","21:00:00","+563326316573","-32.7882065329844","-71.189446195146","viernes","6","56","12"}
{"6","AHUMADA","QUILLOTA","QUILLOTA","CHACABUCO 274","10:00:00","22:00:00","+563302-26313154","-32.878162313975","-71.2462443868782","viernes","6","69","32"}
{"8","AHUMADA","LA CALERA","LA CALERA","PROLONGACION JJ. PEREZ 12010","10:00:00","22:00:00","+56026313722","-32.7908926027982","-71.1920957384256","viernes","6","56","12"}
{"9","AHUMADA","QUILLOTA","QUILLOTA","AV. 21 DE MAYO 311","08:30:00","22:30:00","+5633314997","-32.8743896181991","-71.2419067293266","viernes","6","69","32"}
{"10","AHUMADA","QUILLOTA","QUILLOTA","O`HIGGINS 114-116","10:00:00","22:00:00","+563326313154","-32.8785857529787","-71.2467680389193","viernes","6","69","32"}
{"11","SALCOBRAND","LA CALERA","LA CALERA","J.J. PEREZ 205","09:00:00","21:30:00","+56332225450","-32.7880523605412","-71.1894957968335","viernes","6","56","12"}
{"12","SALCOBRAND","QUILLOTA","QUILLOTA","FREIRE 90","09:00:00","21:00:00","+56332314885","-32.8780255851703","-71.2453218768989","viernes","6","69","32"}
{"13","SALCOBRAND","QUILLOTA","QUILLOTA","CHACABUCO 299","09:30:00","21:30:00","+56332269530","-32.8783291577425","-71.2464943929409","viernes","6","69","32"}
{"14","KNOP","QUILLOTA","QUILLOTA","CHACABUCO 225","10:00:00","20:00:00","+56332315136","-32.8781586740176","-71.2459450658586","viernes","6","69","32"}
{"15","KNOP","LA CALERA","LA CALERA","J.J. PEREZ 247","10:00:00","21:00:00","+56332229081","-32.7876998783928","-71.1895405374846","viernes","6","56","12"}
{"16","ARTIFICIO 2","LA CALERA","LA CALERA","PRAT N° 570","09:00:00","22:00:00","+56332296686","-32.7881944763938","-71.1891042634053","viernes","6","56","12"}
{"17","CRUZ VERDE","QUILLOTA","QUILLOTA","CHACABUCO 281","09:00:00","21:00:00","+56332319578","-32.878335491624","-71.246141889165","viernes","6","69","32"}
{"19","SALCOBRAND","QUILLOTA","QUILLOTA","O´HIGGINS 157","09:30:00","21:00:00","+56332314885","-32.8787432073754","-71.2465369030562","viernes","6","69","32"}
{"20","SALCOBRAND","LIMACHE","LIMACHE","URMENETA 68","09:00:00","21:00:00","+56415298","-32.9851431062104","-71.2763421550883","viernes","6","59","17"}
{"21","DR. SIMI","LA CALERA","LA CALERA","CARRERA 580","09:00:00","21:00:00","+56332342337","-32.7872136780971","-71.1894965921182","viernes","6","56","12"}
{"22","HOSPITAL 1","LA CALERA","LA CALERA","CARRERA N° 737","10:30:00","21:30:00","+56332290054","-32.7872809066268","-71.1913238392171","viernes","6","56","12"}
{"23","SAN NICOLAS","LA CALERA","LA CALERA","J.J. PEREZ N° 396","09:00:00","21:00:00","+56332229552","-32.7862582411004","-71.189985617592","viernes","6","56","12"}
{"24","TAMANACO","LA CALERA","LA CALERA","ALDUNATE 222","09:30:00","21:30:00","+56332222201","-32.7881186052151","-71.1908639639646","viernes","6","56","12"}
{"25","LA CRUZ","LA CRUZ","LA CRUZ","21 DE MAYO N° 5481","09:00:00","21:00:00","+56332254902","-32.8252324978247","-71.2268391982971","viernes","6","57","13"}
{"26","ECOFARMACIAS","LIMACHE","LIMACHE","URMENETA 84","09:00:00","21:00:00","+56342303","-32.9852455678978","-71.2761628933035","viernes","6","59","17"}
{"27","CRUZ VERDE","LIMACHE","LIMACHE","URMENETA 96","09:00:00","21:20:00","+56414551","-32.9853313679932","-71.2759083062112","viernes","6","59","17"}
{"28","DR. SIMI","LIMACHE","LIMACHE","PRAT 200","09:00:00","21:00:00","+56419182","-32.9842867294722","-71.2773152151847","viernes","6","59","17"}
{"29","ECOFARMACIAS","QUILLOTA","QUILLOTA","O´HIGGINS 176, LB2","09:00:00","21:00:00","+56332342235","-32.878874763974","-71.2467432732965","viernes","6","69","32"}
{"30","SAN IGNACIO","QUILLOTA","QUILLOTA","LA CONCEPCION N° 990","10:30:00","22:00:00","+56332319407","-32.8800607332315","-71.2564983497229","viernes","6","69","32"}
{"31","DR. SIMI","QUILLOTA","QUILLOTA","O´HIGGINS 186","09:00:00","21:00:00","+56332258396","-32.8790642414584","-71.2467373690042","viernes","6","69","32"}
{"32","ITALIA","QUILLOTA","QUILLOTA","FREIRE N° 57","09:00:00","21:00:00","+56332310178","-32.8777193144105","-71.2453034649053","viernes","6","69","32"}
{"36","SALCOBRAND","LA CALERA","LA CALERA","J.J. PEREZ 152","09:00:00","21:30:00","+56332228236","-32.7886912401306","-71.1895755139754","viernes","6","56","12"}
{"37","SALCOBRAND","LA CRUZ","LA CRUZ","21 DE MAYO 5628, LOCAL 1, LA CRUZ","09:00:00","21:00:00","+56332320677","-32.8235326035501","-71.2260811844591","viernes","6","57","13"}
